,year,P_copernicus,P_copernicus_completed,P_schelde,month,PO4_y_copernicus_1,PO4_y_copernicus_2,PO4_y_copernicus_3,PO4_y_copernicus_4,PO4_y_schelde_1,PO4_y_schelde_2,PO4_y_schelde_3,PO4_y_schelde_4
175,2005,0.285969332,0.285969332,0.026363636,7,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
176,2005,0.285969332,0.285969332,0.026363636,8,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
177,2005,0.285969332,0.285969332,0.026363636,9,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
178,2005,0.285969332,0.285969332,0.026363636,10,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
179,2005,0.285969332,0.285969332,0.026363636,11,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
180,2005,0.285969332,0.285969332,0.026363636,12,0.469132728,0.893826546,0.787653091,0.681479637,0.564202335,0.912840467,0.825680934,0.738521401
181,2006,0.284427308,0.284427308,0.027,1,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
182,2006,0.284427308,0.284427308,0.027,2,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
183,2006,0.284427308,0.284427308,0.027,3,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
184,2006,0.284427308,0.284427308,0.027,4,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
185,2006,0.284427308,0.284427308,0.027,5,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
186,2006,0.284427308,0.284427308,0.027,6,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
187,2006,0.284427308,0.284427308,0.027,7,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
188,2006,0.284427308,0.284427308,0.027,8,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
189,2006,0.284427308,0.284427308,0.027,9,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
190,2006,0.284427308,0.284427308,0.027,10,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
191,2006,0.284427308,0.284427308,0.027,11,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
192,2006,0.284427308,0.284427308,0.027,12,0.466603037,0.893320607,0.786641215,0.679961822,0.577821012,0.915564202,0.831128405,0.746692607
193,2007,0.291564118,0.291564118,0.020909091,1,0.478310975,0.895662195,0.79132439,0.686986585,0.447470817,0.889494163,0.778988327,0.66848249
194,2007,0.291564118,0.291564118,0.020909091,2,0.478310975,0.895662195,0.79132439,0.686986585,0.447470817,0.889494163,0.778988327,0.66848249
