"Country","Species","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","EwE_FG"
"UK - England & Wales","Grey gurnard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Groundfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Gurnards, searobins nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","John dory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Ling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Lumpfish(=Lumpsucker)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Mullets nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Porgies, seabreams nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Sea trout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - England & Wales","Tusk(=Cusk)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Scotland","Angler(=Monk)",0.5,0.5,0.5,17,0.5,3,1,0.5,0.5,0.5,0,0,0,7,0,0.5,0,0,0,0,"Demersal fish"
"UK - Scotland","Atlantic redfishes nei",0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Scotland","Black scabbardfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,"Demersal fish"
"UK - Scotland","Blackspot(=red) seabream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,"Demersal fish"
"UK - Scotland","European conger",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,"Demersal fish"
"UK - Scotland","European hake",0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Scotland","Finfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Scotland","Grey gurnard",0,2,2,0.5,1,0.5,1,0,0,0,4,1,3,1,1,0.5,0.5,1,0,0,"Demersal fish"
"UK - Scotland","Groundfishes nei",0.5,1,0.5,0,1,1,4,2,0.5,1,0,0,5,5,6,1,1,0.5,0.5,0,"Demersal fish"
"UK - Scotland","Gurnards, searobins nei",0,0,0,0,1,0.5,0.5,3,0.5,1,0,0,0,0,0,0.5,0.5,0,0,1,"Demersal fish"
"UK - Scotland","John dory",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,"Demersal fish"
"UK - Scotland","Ling",0,0.5,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0,"Demersal fish"
"UK - Scotland","Mullets nei",0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Scotland","Red gurnard",1,1,0.5,0.5,2,1,0.5,0,0,0,0,0,0,1,1,2,3,2,0,2,"Demersal fish"
"UK - Scotland","Tusk(=Cusk)",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
"UK - Scotland","Wolffishes(=Catfishes) nei",0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,0,5,1,1,1,3,0,0,0,"Demersal fish"
"Un. Sov. Soc. Rep.","Finfishes nei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Demersal fish"
